dt	pCa	dhsl	Mode
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	9	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
0.001	5.8	0	-2
