dt	dhsl	Mode	pCa
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
0.0002	0	-2	6.72043
